<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/thsys/70561>	G.02.02  South Asia
<http://zbw.eu/stw/descriptor/12170-1>	Information value
<http://zbw.eu/stw/descriptor/10805-1>	International finance
<http://zbw.eu/stw/descriptor/15644-2>	Humanities
<http://zbw.eu/stw/descriptor/13142-1>	Footwear industry
<http://zbw.eu/stw/descriptor/13170-3>	Prefabricated building
<http://zbw.eu/stw/descriptor/14846-2>	Textiles
<http://zbw.eu/stw/descriptor/14906-3>	Men's clothing
<http://zbw.eu/stw/descriptor/18167-2>	Cigarette industry
<http://zbw.eu/stw/descriptor/15907-3>	Foreigners
<http://zbw.eu/stw/descriptor/26149-1>	Bangladeshi
<http://zbw.eu/stw/descriptor/19157-0>	Professional partnership
<http://zbw.eu/stw/thsys/194661>	P.01.03  Oil crops and nuts
<http://zbw.eu/stw/descriptor/13315-3>	Undertaker
<http://zbw.eu/stw/descriptor/10138-0>	Auction theory
<http://zbw.eu/stw/descriptor/29446-1>	Music production
<http://zbw.eu/stw/descriptor/20503-4>	Global sourcing
<http://zbw.eu/stw/thsys/72181>	N.09.02.01  Statistical reports
<http://zbw.eu/stw/descriptor/14436-0>	Truck
<http://zbw.eu/stw/descriptor/19385-1>	Natural gas market
<http://zbw.eu/stw/descriptor/12958-1>	Wine industry
<http://zbw.eu/stw/descriptor/13381-4>	Engineering consultancy
<http://zbw.eu/stw/descriptor/29241-5>	Radio broadcast
<http://zbw.eu/stw/descriptor/29798-5>	Service-dominant logic
<http://zbw.eu/stw/descriptor/10070-1>	General equilibrium
<http://zbw.eu/stw/descriptor/13427-6>	Fertilizer
<http://zbw.eu/stw/descriptor/17920-1>	Ecuador
<http://zbw.eu/stw/descriptor/14538-6>	Photographic camera
<http://zbw.eu/stw/descriptor/19705-2>	Harmonization of law
<http://zbw.eu/stw/descriptor/16949-3>	Upper Austria
<http://zbw.eu/stw/descriptor/16961-6>	Geneva
<http://zbw.eu/stw/descriptor/16521-6>	National security
<http://zbw.eu/stw/descriptor/29837-0>	Coffee price
<http://zbw.eu/stw/descriptor/10062-0>	Economic theory
<http://zbw.eu/stw/descriptor/26164-5>	Brazilian
<http://zbw.eu/stw/descriptor/17740-3>	Chad
<http://zbw.eu/stw/descriptor/19318-2>	Export subsidies
<http://zbw.eu/stw/descriptor/13057-6>	Aerospace industry
<http://zbw.eu/stw/descriptor/17931-3>	South America
<http://zbw.eu/stw/descriptor/29949-3>	Event study
<http://zbw.eu/stw/descriptor/14240-3>	Sand
<http://zbw.eu/stw/descriptor/29525-5>	Minority shareholders
<http://zbw.eu/stw/descriptor/17804-3>	Trinidad and Tobago
<http://zbw.eu/stw/thsys/70346>	P.07.02  Metal products
<http://zbw.eu/stw/descriptor/16023-1>	Water law
<http://zbw.eu/stw/descriptor/10048-1>	Multi-country model
<http://zbw.eu/stw/descriptor/19795-3>	Engineering
<http://zbw.eu/stw/descriptor/18698-6>	Credit policy
<http://zbw.eu/stw/descriptor/11335-0>	Wage rigidity
<http://zbw.eu/stw/descriptor/12511-1>	Administrative costs
<http://zbw.eu/stw/descriptor/28089-4>	Matching
<http://zbw.eu/stw/descriptor/18752-5>	Homeownership promotion
<http://zbw.eu/stw/descriptor/14804-4>	Paper packaging
<http://zbw.eu/stw/descriptor/12325-5>	Bookkeeping
<http://zbw.eu/stw/descriptor/17598-1>	Bhutan
<http://zbw.eu/stw/descriptor/17634-2>	Saudi Arabia
<http://zbw.eu/stw/descriptor/19333-6>	Tobin tax
<http://zbw.eu/stw/descriptor/19545-5>	Milk policy
<http://zbw.eu/stw/descriptor/11540-6>	Public finance
<http://zbw.eu/stw/descriptor/18362-4>	Renewable energy policy
<http://zbw.eu/stw/descriptor/13054-5>	Agricultural machinery industry
<http://zbw.eu/stw/thsys/71033>	B.01.06  Environmental management
<http://zbw.eu/stw/descriptor/15767-0>	Environmental economics
<http://zbw.eu/stw/descriptor/16274-4>	Policy advice
<http://zbw.eu/stw/descriptor/30010-0>	Monetary business cycle model
<http://zbw.eu/stw/descriptor/11553-4>	Local government expenditure
<http://zbw.eu/stw/thsys/194331>	N.09.02.07  Regression analysis
<http://zbw.eu/stw/descriptor/15491-1>	Decomposition method
<http://zbw.eu/stw/descriptor/19267-0>	Yield curve
<http://zbw.eu/stw/descriptor/13218-1>	Food retailing
<http://zbw.eu/stw/descriptor/11954-0>	Economic base model
<http://zbw.eu/stw/descriptor/14716-1>	Foamed plastic
<http://zbw.eu/stw/descriptor/12071-3>	Firm growth
<http://zbw.eu/stw/thsys/71110>	V.04.03  Economic structure
<http://zbw.eu/stw/descriptor/11217-6>	Forced labour
<http://zbw.eu/stw/descriptor/11822-3>	Chamber of commerce
<http://zbw.eu/stw/descriptor/19844-2>	Labour court decision
<http://zbw.eu/stw/descriptor/14788-4>	Wood product
<http://zbw.eu/stw/thsys/70952>	W.10.06  Foreign trade sector
<http://zbw.eu/stw/descriptor/13533-0>	Port
<http://zbw.eu/stw/descriptor/19757-4>	Gender studies
<http://zbw.eu/stw/descriptor/14438-3>	Commercial vehicle
<http://zbw.eu/stw/descriptor/11170-6>	Policy analysis
<http://zbw.eu/stw/thsys/70873>	W.21.03  Event sector
<http://zbw.eu/stw/descriptor/11900-2>	Regional planning
<http://zbw.eu/stw/descriptor/18709-6>	Bank managers
<http://zbw.eu/stw/descriptor/10622-2>	Low wages
<http://zbw.eu/stw/descriptor/29229-2>	Mass customization
<http://zbw.eu/stw/descriptor/19687-6>	Citizenship
<http://zbw.eu/stw/descriptor/11328-4>	Minimum wage
<http://zbw.eu/stw/thsys/197981>	N.06.03.03  Gender relations
<http://zbw.eu/stw/descriptor/10285-1>	Propensity to save
<http://zbw.eu/stw/descriptor/14432-1>	Bicycle
<http://zbw.eu/stw/descriptor/17642-3>	Africa
<http://zbw.eu/stw/descriptor/18857-5>	Educational institution
<http://zbw.eu/stw/descriptor/29982-5>	Transferable utility
<http://zbw.eu/stw/descriptor/29935-0>	Citation analysis
<http://zbw.eu/stw/descriptor/12750-4>	Facility layout
<http://zbw.eu/stw/descriptor/16541-0>	Rehabilitation
<http://zbw.eu/stw/descriptor/28046-1>	Labour society
<http://zbw.eu/stw/descriptor/26476-0>	Moroccan
<http://zbw.eu/stw/descriptor/10253-0>	Macroeconometrics
<http://zbw.eu/stw/descriptor/19749-3>	Award
<http://zbw.eu/stw/descriptor/26644-5>	Swedes
<http://zbw.eu/stw/descriptor/15599-2>	Computer network
<http://zbw.eu/stw/descriptor/19363-4>	Urban growth
<http://zbw.eu/stw/descriptor/20722-6>	Agenda 21
<http://zbw.eu/stw/descriptor/18688-2>	Currency option
<http://zbw.eu/stw/descriptor/29576-2>	Econophysics
<http://zbw.eu/stw/descriptor/19197-2>	Income effect
<http://zbw.eu/stw/descriptor/14223-3>	Asbestos
<http://zbw.eu/stw/descriptor/19406-5>	Benefit principle
<http://zbw.eu/stw/descriptor/28128-6>	Questionnaire
<http://zbw.eu/stw/descriptor/15883-5>	Coastal area
<http://zbw.eu/stw/descriptor/16550-6>	Local government
<http://zbw.eu/stw/descriptor/11879-2>	Settlement
<http://zbw.eu/stw/descriptor/19068-6>	Stock
<http://zbw.eu/stw/descriptor/19001-3>	Human resource control
<http://zbw.eu/stw/descriptor/11297-3>	Occupational statistics
<http://zbw.eu/stw/descriptor/15437-0>	Dynamic game
<http://zbw.eu/stw/descriptor/14665-6>	Alcohol
<http://zbw.eu/stw/descriptor/26276-1>	Greek
<http://zbw.eu/stw/descriptor/12056-6>	Corporate group
<http://zbw.eu/stw/descriptor/11151-3>	Socialist agriculture
<http://zbw.eu/stw/descriptor/12291-3>	Pension obligations
<http://zbw.eu/stw/descriptor/19388-2>	Oil consumption
<http://zbw.eu/stw/thsys/71103>	V.09.07.02  Local government finance
<http://zbw.eu/stw/descriptor/26150-2>	Basque
<http://zbw.eu/stw/descriptor/19660-5>	Automation
<http://zbw.eu/stw/descriptor/29729-3>	International political economy
<http://zbw.eu/stw/descriptor/29709-2>	Derivatives market
<http://zbw.eu/stw/descriptor/10981-2>	Structural policy
<http://zbw.eu/stw/descriptor/29758-3>	Occupational group
<http://zbw.eu/stw/descriptor/19614-5>	Ocean use
<http://zbw.eu/stw/descriptor/13639-5>	Tourism policy
<http://zbw.eu/stw/descriptor/10659-0>	Purchasing power parity
<http://zbw.eu/stw/thsys/71019>	W.02  Forestry
<http://zbw.eu/stw/descriptor/14180-2>	Geothermal energy
<http://zbw.eu/stw/descriptor/28227-4>	Executive compensation
<http://zbw.eu/stw/descriptor/16195-0>	Crime
<http://zbw.eu/stw/descriptor/28045-3>	Employability
<http://zbw.eu/stw/descriptor/19536-6>	Discounting
<http://zbw.eu/stw/descriptor/26161-4>	Bengalis
<http://zbw.eu/stw/descriptor/26433-4>	Latvian
<http://zbw.eu/stw/thsys/70052>	V.13  Labour
<http://zbw.eu/stw/descriptor/16958-2>	Basel
<http://zbw.eu/stw/thsys/71105>	V.05.04.05  Bond market
<http://zbw.eu/stw/descriptor/14249-6>	Concrete
<http://zbw.eu/stw/descriptor/17476-1>	Latvia
<http://zbw.eu/stw/descriptor/11203-3>	Temporary agency work
<http://zbw.eu/stw/descriptor/16699-0>	Intergenerational equity
<http://zbw.eu/stw/descriptor/10626-1>	Economic integration
<http://zbw.eu/stw/descriptor/12713-3>	Quality management
<http://zbw.eu/stw/descriptor/15479-5>	Risk neutrality
<http://zbw.eu/stw/descriptor/19317-4>	Trade liberalization
<http://zbw.eu/stw/descriptor/19736-5>	Catholicism
<http://zbw.eu/stw/thsys/73385>	N.07.01  Occupational and organizational psychology
<http://zbw.eu/stw/descriptor/13712-0>	Stock index
<http://zbw.eu/stw/descriptor/16948-5>	Lower Austria
<http://zbw.eu/stw/descriptor/11576-6>	Competitive tendering
<http://zbw.eu/stw/descriptor/10511-4>	Subsistence economy
<http://zbw.eu/stw/descriptor/18232-3>	Drinking water
<http://zbw.eu/stw/descriptor/10421-5>	Monetary growth model
<http://zbw.eu/stw/descriptor/18219-2>	Pork
<http://zbw.eu/stw/descriptor/15917-0>	Inuit
<http://zbw.eu/stw/descriptor/29670-3>	European corporate taxation
<http://zbw.eu/stw/descriptor/15922-0>	American Indians
<http://zbw.eu/stw/descriptor/10704-0>	Most favoured nation
<http://zbw.eu/stw/descriptor/21283-1>	Mobile business
<http://zbw.eu/stw/descriptor/14741-2>	Detergents
<http://zbw.eu/stw/descriptor/29913-3>	Linear regression
<http://zbw.eu/stw/descriptor/30055-6>	Deviant behaviour
<http://zbw.eu/stw/descriptor/14310-1>	Tin
<http://zbw.eu/stw/descriptor/15571-3>	Inventory model
<http://zbw.eu/stw/descriptor/18792-0>	Temporary employment
<http://zbw.eu/stw/descriptor/27816-4>	Project control
<http://zbw.eu/stw/descriptor/17703-2>	Gambia
<http://zbw.eu/stw/descriptor/13650-3>	Book
<http://zbw.eu/stw/descriptor/17935-2>	Australia
<http://zbw.eu/stw/descriptor/13045-6>	Construction machinery industry
<http://zbw.eu/stw/descriptor/13715-1>	Share price
<http://zbw.eu/stw/descriptor/15661-2>	Music
<http://zbw.eu/stw/descriptor/19746-2>	Bibliometrics
<http://zbw.eu/stw/descriptor/16182-2>	Community law
<http://zbw.eu/stw/descriptor/19590-0>	Balance of payments statistics
<http://zbw.eu/stw/descriptor/19078-3>	CIS countries
<http://zbw.eu/stw/descriptor/29929-2>	Ultimatum game
<http://zbw.eu/stw/thsys/73361>	N.05.01.01  Constitutional law
<http://zbw.eu/stw/thsys/70257>	P.09  Vehicles
<http://zbw.eu/stw/descriptor/16533-6>	Poverty reduction
<http://zbw.eu/stw/descriptor/16874-1>	Hesse
<http://zbw.eu/stw/descriptor/12452-5>	Consolidated financial statements
<http://zbw.eu/stw/descriptor/29705-3>	Insurance benefits
<http://zbw.eu/stw/descriptor/10678-3>	Exchange rate theory
<http://zbw.eu/stw/thsys/70041>	B.07  Marketing
<http://zbw.eu/stw/descriptor/15126-3>	Cross-section analysis
<http://zbw.eu/stw/descriptor/29690-4>	Financial econometrics
<http://zbw.eu/stw/descriptor/17639-6>	United Arab Emirates
<http://zbw.eu/stw/descriptor/10185-5>	Factor demand
<http://zbw.eu/stw/descriptor/18955-5>	Sports economics
<http://zbw.eu/stw/descriptor/16026-2>	Civil Code
<http://zbw.eu/stw/descriptor/16120-3>	Audit regulation
<http://zbw.eu/stw/descriptor/13083-5>	Watch industry
<http://zbw.eu/stw/descriptor/18301-3>	Food science
<http://zbw.eu/stw/descriptor/18919-2>	Movie theatre
<http://zbw.eu/stw/descriptor/19811-3>	Biometrics
<http://zbw.eu/stw/descriptor/18295-0>	Fashion
<http://zbw.eu/stw/descriptor/18687-4>	Stock option
<http://zbw.eu/stw/descriptor/18394-5>	Offshore industry
<http://zbw.eu/stw/descriptor/16039-0>	Contract law
<http://zbw.eu/stw/descriptor/12438-6>	Firm valuation
<http://zbw.eu/stw/descriptor/10073-2>	Dynamic equilibrium
<http://zbw.eu/stw/descriptor/11703-4>	Tax harmonization
<http://zbw.eu/stw/descriptor/29691-2>	Equity premium puzzle
<http://zbw.eu/stw/descriptor/18904-1>	EU social legislation
<http://zbw.eu/stw/descriptor/30108-4>	Mekong
<http://zbw.eu/stw/descriptor/10135-6>	Interest rate
<http://zbw.eu/stw/descriptor/10505-6>	Agricultural development
<http://zbw.eu/stw/descriptor/10439-0>	Growth policy
<http://zbw.eu/stw/descriptor/19200-4>	Substitution effect
<http://zbw.eu/stw/descriptor/19769-4>	Social stability
<http://zbw.eu/stw/descriptor/29611-5>	Geographic distance
<http://zbw.eu/stw/descriptor/18841-6>	Cooperative studies
<http://zbw.eu/stw/descriptor/13845-2>	Housing market
<http://zbw.eu/stw/descriptor/17500-2>	Tajikistan
<http://zbw.eu/stw/descriptor/12770-5>	Marketing management
<http://zbw.eu/stw/descriptor/29793-1>	Customer acquisition
<http://zbw.eu/stw/descriptor/12299-1>	Securities
<http://zbw.eu/stw/descriptor/19299-1>	Geo-economics
<http://zbw.eu/stw/descriptor/18025-1>	Pension reform
<http://zbw.eu/stw/descriptor/10397-4>	Price stability
<http://zbw.eu/stw/descriptor/25681-4>	Divorce
<http://zbw.eu/stw/descriptor/14483-5>	Cable and wire
<http://zbw.eu/stw/descriptor/10204-6>	Mark-up pricing
<http://zbw.eu/stw/descriptor/16449-2>	Nuclear disarmament
<http://zbw.eu/stw/descriptor/19301-5>	Tea industry
<http://zbw.eu/stw/descriptor/12953-4>	Pig farming
<http://zbw.eu/stw/descriptor/18678-5>	Maturity
<http://zbw.eu/stw/descriptor/29803-3>	Brand equity
<http://zbw.eu/stw/descriptor/18479-4>	Manufacturing SMEs
<http://zbw.eu/stw/descriptor/19136-1>	Retail outlet
<http://zbw.eu/stw/descriptor/10160-0>	Utility
<http://zbw.eu/stw/descriptor/10692-2>	Export restrictions
<http://zbw.eu/stw/descriptor/14602-2>	Specialty chemicals
<http://zbw.eu/stw/descriptor/12901-2>	Fiduciary
<http://zbw.eu/stw/descriptor/11303-6>	Occupational profile
<http://zbw.eu/stw/descriptor/17732-2>	Cameroon
<http://zbw.eu/stw/descriptor/19554-4>	Noise trading
<http://zbw.eu/stw/descriptor/16485-5>	Consumer protection
<http://zbw.eu/stw/descriptor/10114-0>	X-efficiency
<http://zbw.eu/stw/descriptor/14355-0>	Steam engine
<http://zbw.eu/stw/descriptor/29790-0>	Hotelling model
<http://zbw.eu/stw/descriptor/13454-3>	Rural population
<http://zbw.eu/stw/descriptor/14024-2>	Stationery
<http://zbw.eu/stw/descriptor/29224-5>	Digital divide
<http://zbw.eu/stw/descriptor/19480-0>	International environmental agreement
<http://zbw.eu/stw/descriptor/15708-2>	Demographic development
<http://zbw.eu/stw/descriptor/19484-6>	Soil erosion
<http://zbw.eu/stw/descriptor/10376-5>	Consumer confidence index
<http://zbw.eu/stw/descriptor/12729-2>	Shop-floor manufacturing
<http://zbw.eu/stw/descriptor/29744-0>	G20 countries
<http://zbw.eu/stw/descriptor/19146-5>	Brainstorming
<http://zbw.eu/stw/descriptor/19373-1>	Parafiscal bodies
<http://zbw.eu/stw/descriptor/16532-1>	Disability benefits
<http://zbw.eu/stw/descriptor/16342-6>	Parliamentary system
<http://zbw.eu/stw/descriptor/19721-4>	War victims
<http://zbw.eu/stw/descriptor/19216-3>	Bounded rationality
<http://zbw.eu/stw/descriptor/14245-0>	Clay
<http://zbw.eu/stw/descriptor/13519-1>	Air transport policy
<http://zbw.eu/stw/descriptor/10374-2>	Leading indicator
<http://zbw.eu/stw/descriptor/19549-4>	Automotive market
<http://zbw.eu/stw/descriptor/15444-3>	Coalition
<http://zbw.eu/stw/descriptor/14237-6>	Dimension stone
<http://zbw.eu/stw/descriptor/15703-5>	Industrial history
<http://zbw.eu/stw/descriptor/11990-3>	Urban economics
<http://zbw.eu/stw/descriptor/13808-1>	Corporate insurance
<http://zbw.eu/stw/descriptor/12495-1>	Imputed costs
<http://zbw.eu/stw/descriptor/12809-4>	Product quality
<http://zbw.eu/stw/descriptor/19958-1>	GATS
<http://zbw.eu/stw/descriptor/14954-6>	Cheese
<http://zbw.eu/stw/descriptor/10051-5>	Open economy
<http://zbw.eu/stw/descriptor/19593-1>	Normal-form game
<http://zbw.eu/stw/thsys/70227>	V.12.02  Energy economics
<http://zbw.eu/stw/descriptor/10426-2>	Regional growth theory
<http://zbw.eu/stw/descriptor/10676-0>	International monetary economics
<http://zbw.eu/stw/descriptor/16708-4>	Epistemology
<http://zbw.eu/stw/descriptor/13011-2>	Glass industry
<http://zbw.eu/stw/descriptor/20381-6>	Downsizing (Staff)
<http://zbw.eu/stw/descriptor/18361-6>	Electricity supply
<http://zbw.eu/stw/descriptor/18027-4>	Radio programme
<http://zbw.eu/stw/descriptor/19563-3>	Liquidity constraint
<http://zbw.eu/stw/descriptor/19692-6>	Voting
<http://zbw.eu/stw/descriptor/12971-2>	Fur farming
<http://zbw.eu/stw/descriptor/14814-1>	Map
<http://zbw.eu/stw/descriptor/11721-2>	Government size
<http://zbw.eu/stw/descriptor/19567-2>	Tax simplification
<http://zbw.eu/stw/descriptor/19740-0>	Protestantism
<http://zbw.eu/stw/thsys/73363>	N.04.06.05  Armed forces
<http://zbw.eu/stw/descriptor/13793-2>	Noncash payments
<http://zbw.eu/stw/descriptor/12768-6>	Computer-assisted marketing
<http://zbw.eu/stw/thsys/70017>	N.07  Psychology
<http://zbw.eu/stw/descriptor/10411-1>	Steady-state economics
<http://zbw.eu/stw/descriptor/13295-4>	Legal expenses insurance
<http://zbw.eu/stw/descriptor/18805-3>	Concession
<http://zbw.eu/stw/descriptor/26083-5>	Albanian
<http://zbw.eu/stw/descriptor/12165-1>	Business intelligence system
<http://zbw.eu/stw/descriptor/13339-3>	Chimney sweep services
<http://zbw.eu/stw/descriptor/29597-1>	Diamond industry
<http://zbw.eu/stw/descriptor/19348-0>	Wine policy
<http://zbw.eu/stw/descriptor/12910-1>	Skilled crafts
<http://zbw.eu/stw/descriptor/10192-1>	Corporate objective
<http://zbw.eu/stw/descriptor/12543-2>	Depreciation
<http://zbw.eu/stw/descriptor/14364-6>	Wind turbine
<http://zbw.eu/stw/descriptor/14889-5>	Technical textiles
<http://zbw.eu/stw/descriptor/10091-0>	Coase theorem
<http://zbw.eu/stw/descriptor/15698-0>	Slavery
<http://zbw.eu/stw/descriptor/29999-2>	Anti-corruption
<http://zbw.eu/stw/descriptor/26070-0>	Afrikaans
<http://zbw.eu/stw/descriptor/29567-3>	Eco-efficiency
<http://zbw.eu/stw/descriptor/17011-3>	Andorra
<http://zbw.eu/stw/descriptor/11844-0>	Urban design
<http://zbw.eu/stw/descriptor/17680-2>	Botswana
<http://zbw.eu/stw/thsys/70923>	W.13  Tourism
<http://zbw.eu/stw/thsys/70278>	V.13.02  Labour market theory
<http://zbw.eu/stw/descriptor/16017-3>	Constitutional law
<http://zbw.eu/stw/descriptor/14980-5>	Fruit wine
<http://zbw.eu/stw/descriptor/25974-3>	Social exchange theory
<http://zbw.eu/stw/descriptor/18182-6>	Defence conversion
<http://zbw.eu/stw/descriptor/19829-5>	Regional business growth programme
<http://zbw.eu/stw/descriptor/12967-0>	Small-scale fisheries
<http://zbw.eu/stw/descriptor/12487-0>	Return on investment
<http://zbw.eu/stw/descriptor/11723-5>	Free rider problem
<http://zbw.eu/stw/descriptor/10683-3>	Trade barriers
<http://zbw.eu/stw/descriptor/30109-2>	Austria-Hungary
<http://zbw.eu/stw/descriptor/18370-5>	EU energy policy
<http://zbw.eu/stw/descriptor/10013-6>	Demand
<http://zbw.eu/stw/descriptor/11698-6>	Destination principle
<http://zbw.eu/stw/descriptor/19557-5>	Project finance
<http://zbw.eu/stw/descriptor/14461-1>	Specialized vessel
<http://zbw.eu/stw/descriptor/12206-6>	Financial management theory
<http://zbw.eu/stw/descriptor/13627-5>	Dry bulk shipping
<http://zbw.eu/stw/descriptor/18864-1>	Child care
<http://zbw.eu/stw/thsys/71104>	V.05.04.06  Derivatives market
<http://zbw.eu/stw/descriptor/13844-4>	Building maintenance
<http://zbw.eu/stw/descriptor/15904-2>	Elderly people
<http://zbw.eu/stw/descriptor/14194-5>	Lignite
<http://zbw.eu/stw/descriptor/29632-4>	Non-performing loan
<http://zbw.eu/stw/descriptor/12182-1>	Private limited company
<http://zbw.eu/stw/descriptor/18615-1>	Freight transport industry
<http://zbw.eu/stw/descriptor/11872-2>	Regional income distribution
<http://zbw.eu/stw/descriptor/12868-2>	Reorganization tax
<http://zbw.eu/stw/thsys/70957>	W.10.04  Trade in commodities and used materials
<http://zbw.eu/stw/descriptor/19665-2>	Lender of last resort
<http://zbw.eu/stw/descriptor/12072-1>	Enterprise
